ticket_id,created_date,assigned_to,priority,status,category,team,first_response_date,resolution_date,customer_tier,escalated,escalation_date,satisfaction_score
T-215470076329030,2025-07-29T23:07:10.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-29T23:10:19.000Z,2025-07-30T16:06:46.000Z,,false,,5
T-215470072998356,2025-07-29T18:54:45.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-29T20:11:28.000Z,2025-07-29T21:54:52.000Z,,false,,5
T-215470072144438,2025-07-29T17:51:02.000Z,Unassigned,Medium,Resolved,General,Customer Success,2025-07-29T18:31:28.000Z,2025-07-29T17:54:06.000Z,,false,,5
T-215470072134899,2025-07-29T17:49:53.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-07-29T17:53:52.000Z,,false,,
T-215470071765499,2025-07-29T17:23:33.000Z,Unassigned,Medium,Resolved,General,Sales & Marketing,,2025-07-29T18:05:57.000Z,,false,,
T-215470072093709,2025-07-29T17:46:02.000Z,Susan,Medium,Resolved,General,Unassigned,,2025-07-29T17:49:12.000Z,,false,,
T-215470070171229,2025-07-29T16:06:14.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-29T16:14:10.000Z,,,false,,
T-215470069689511,2025-07-29T15:25:48.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-29T15:27:29.000Z,,false,,
T-215470069637250,2025-07-29T15:23:19.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-29T16:45:56.000Z,,,false,,
T-215470068429286,2025-07-29T14:10:07.000Z,Unassigned,Medium,Open,Failed Orders,Customer Success,2025-07-29T17:32:23.000Z,,,false,,
T-215470068156579,2025-07-29T13:56:37.000Z,Unassigned,Medium,Open,General,Customer Success,2025-07-30T17:17:48.000Z,,,false,,
T-215470064541039,2025-07-29T11:40:32.000Z,Unassigned,Medium,Resolved,General,Unassigned,2025-07-29T20:55:04.000Z,2025-07-30T13:16:23.000Z,,false,,
T-215470062779606,2025-07-29T08:42:50.000Z,Unassigned,Medium,Resolved,General,Unassigned,,2025-07-29T15:05:24.000Z,,false,,
